java_file,nobl
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/query/Employee_Employee_1.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/query/Employee_setId_3.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/query/Employee_getId_2.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/query/Employee_setName_5.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/query/Employee_setManager_7.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/query/Employee_Employee_0.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/query/Employee_getName_4.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/query/Employee_getManager_6.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/advanced/ApplicationConfiguration_initializeWithDefaults_0.java,1
/mongodb/example/src/main/java/example/springdata/mongodb/advanced/ApplicationConfiguration_setProfilingLevel_2.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/advanced/ApplicationConfiguration_cleanUpWhenShuttingDown_1.java,2
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/UserName_UserName_0.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/User_User_1.java,1
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/User_getId_3.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/User_setId_4.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/User_equals_11.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/User_getUserName_5.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/UserName_getUsername_1.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/UserName_equals_2.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/User_toString_13.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/UserName_hashCode_3.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/User_hashCode_12.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/unwrapping/User_getEmail_6.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/projections/Customer_Customer_0.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/immutable/ApplicationConfiguration_beforeConvertCallback_0.java,3
/mongodb/example/src/main/java/example/springdata/mongodb/immutable/ApplicationConfiguration_beforeRecordConvertCallback_1.java,3
/mongodb/example/src/main/java/example/springdata/mongodb/immutable/ImmutablePerson_ImmutablePerson_0.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/converters/AddressDocumentConverter_write_1.java,2
/mongodb/example/src/main/java/example/springdata/mongodb/converters/AddressJsonConverter_write_1.java,0
/mongodb/example/src/main/java/example/springdata/mongodb/converters/AddressDocumentConverter_read_0.java,2
/mongodb/example/src/main/java/example/springdata/mongodb/converters/AddressJsonConverter_read_0.java,1
/mongodb/example/src/main/java/example/springdata/mongodb/customer/Customer_Customer_0.java,2
/neo4j/example/src/main/java/example/springdata/neo4j/Movie_getId_1.java,0
/neo4j/example/src/main/java/example/springdata/neo4j/Actor_getId_2.java,0
/neo4j/example/src/main/java/example/springdata/neo4j/Actor_toString_6.java,0
/neo4j/example/src/main/java/example/springdata/neo4j/Roles_getRoles_4.java,0
