java_file,loc
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ProcessDefinitionResourceFinderDescriptor_shouldLookUpResources_3.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setDatabaseSchemaUpdate_7.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_isDbHistoryUsed_10.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_getNumberOfRetries_32.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_getTimerLockTimeInMillis_22.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setMaxTimerJobsPerAcquisition_13.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ProcessDefinitionResourceFinderDescriptor_getLocationPrefix_2.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setDeploymentName_5.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineConfiguration_taskServiceBean_3.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setJavaClassFieldForJackson_45.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setCorePoolSize_1.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_isAsyncExecutorActivate_0.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_isCopyVariablesToLocalForTasks_38.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineAutoConfiguration_repositoryServiceBean_5.java,3
